2017-08-03	14	19	22	27	32	36	40
2017-07-31	11	13	14	16	30	43	47
2017-07-27	14	20	24	33	37	41	18
2017-07-24	2	22	23	32	35	41	7
2017-07-20	8	11	35	39	41	43	13
2017-07-17	9	11	16	20	27	46	39
2017-07-13	24	30	33	34	47	49	12
2017-07-10	11	16	31	35	46	48	41
2017-07-06	2	4	7	26	40	47	35
2017-07-03	5	7	9	27	31	34	40
2017-06-29	2	9	13	16	29	40	46
2017-06-26	14	20	21	23	25	37	15
2017-06-22	4	5	12	20	47	49	25
2017-06-19	1	23	30	34	40	42	14
2017-06-15	20	21	23	37	39	47	31
2017-06-12	9	10	19	21	23	43	15
2017-06-08	5	7	22	25	34	40	1
2017-06-05	15	21	23	24	39	40	18
2017-06-01	9	15	17	22	44	46	2
2017-05-29	13	15	16	27	36	47	24
2017-05-25	3	8	11	32	44	46	12
2017-05-22	21	24	31	34	37	44	45
2017-05-18	4	23	43	44	46	48	16
2017-05-15	8	14	16	23	24	27	5
2017-05-11	8	9	12	18	27	45	13
2017-05-08	5	21	29	30	38	45	1
2017-05-04	4	13	14	36	41	43	45
2017-05-01	8	17	24	29	32	45	14
2017-04-27	4	7	15	31	32	43	37
2017-04-24	2	8	22	31	32	35	36
2017-04-20	2	12	25	28	37	38	22
2017-04-17	12	17	25	28	36	44	3
2017-04-13	7	9	16	27	32	47	36
2017-04-10	13	19	20	23	29	31	48
2017-04-06	10	12	20	27	43	46	26
2017-04-03	1	28	30	32	40	48	31
2017-03-30	28	34	38	39	42	46	24
2017-03-27	1	27	28	40	41	44	36
2017-03-23	5	13	18	25	28	44	16
2017-03-20	6	20	30	41	42	45	35
2017-03-16	2	9	15	19	20	37	29
2017-03-13	6	28	30	35	39	42	33
2017-03-09	2	6	9	17	26	46	13
2017-03-06	16	22	28	36	39	47	3
2017-03-02	8	14	20	35	36	41	38
2017-02-27	22	25	27	29	35	49	31
2017-02-23	7	8	9	28	41	42	29
2017-02-20	2	6	13	17	23	46	3
2017-02-16	8	17	31	43	44	48	46
2017-02-13	7	10	19	23	24	33	3
2017-02-10	2	7	24	27	29	34	21
2017-02-06	9	14	17	25	30	36	44
2017-02-02	11	20	21	29	37	48	23
2017-01-30	21	22	25	27	32	39	6
2017-01-26	8	12	16	19	22	46	6
2017-01-23	5	14	23	28	45	49	39
2017-01-19	5	8	16	44	48	49	32
2017-01-16	2	7	17	21	35	42	16
2017-01-12	3	6	12	25	40	43	42
2017-01-09	8	29	33	34	42	49	21
2017-01-05	7	15	20	33	39	44	43
2017-01-02	1	18	22	35	38	49	30
2016-12-29	2	4	34	36	42	46	15
2016-12-26	8	10	18	25	28	46	23
2016-12-22	3	28	37	38	44	47	46
2016-12-19	10	11	24	27	36	49	43
2016-12-15	4	18	24	39	46	47	10
2016-12-12	2	14	31	36	43	46	39
2016-12-08	6	8	11	24	37	46	23
2016-12-05	5	9	11	19	24	37	36
2016-12-01	3	4	8	19	24	46	12
2016-11-28	2	4	15	24	37	48	6
2016-11-24	2	3	17	19	22	40	20
2016-11-21	4	21	25	40	47	48	49
2016-11-17	1	21	31	36	39	43	38
2016-11-14	8	10	15	31	38	40	19
2016-11-10	17	22	26	34	41	47	42
2016-11-07	1	13	21	41	48	49	22
2016-11-03	1	11	19	26	35	39	14
