T,L,S,M,R,A,E,V,J,U,Ph,il,age,dist,adia,sundist,sunadia
20040212,342.73457931170293,206.13502111228644,300.06223228248183,21.576108930601137,12.416674616877616,285.593395028949,341.57928236657733,142.62118354338145,72.94018731486196,0.7092500720492859,0.6266255058355277,20.944572148947827,366332.644245719,0.5436538654917521,147665088.96262375,0.5400596203222104
20040216,345.72895016093184,263.03001686593706,304.103574156886,21.3642932956548,14.97242170778435,292.0567039113275,346.2516094654246,142.1579403719197,72.78534909327401,0.8553538292047759,0.19266890499896389,25.25910210610921,364944.58740573976,0.5457216382238848,147781312.16419816,0.5396348882827143
20040219,347.9730111071919,305.5975737715651,307.13025164543836,21.205431569449935,16.891478510809073,297.05748737435727,349.73091165377787,141.7948540086903,72.68725829265102,0.965862307604079,0.01145782971112469,28.522482527371693,374900.9746321281,0.531228701913683,147874188.94054905,0.5392959545635221
20040223,350.9622600875292,358.3917801715361,311.15969821115937,20.993615934516527,19.4525553108353,303.9412405652638,354.3335581251664,141.29427311208374,72.58129481371627,0.10427817653487889,0.10353668764077967,3.0793959395519366,393696.67907366407,0.5058670003734925,148005133.13650396,0.5388188246582577
20040226,353.2017675495319,34.720919609326636,314.17696941178815,20.834754208321023,21.374703258945,309.2735370870044,357.7558584962163,140.9096372477251,72.52085432911753,0.1986080450304952,0.3413385372165574,5.865012486334472,403445.75641726376,0.4936429617418523,148108310.85014516,0.5384434635858373
20040301,355.61973202907177,73.18643326751989,317.433296517763,20.663051159260277,23.45314654479337,315.20427455320316,1.4236204359369127,140.4882493341871,72.47417909439486,0.3192965270742813,0.7108878819544662,9.429014407983086,403579.6275857128,0.49347921571611664,148251952.43164033,0.5379217647522866
20040304,357.85436362813533,110.40521598498103,320.44145949388565,20.504189433073414,25.37671837671774,320.84222246855876,4.785879224581613,140.09586697806986,72.4484245691308,0.4137136589655307,0.9282998616467869,12.217207894208881,394022.8436418778,0.5054482533530777,148363844.0105702,0.5375160802271904
20040308,0.8300691611142632,164.11256507263374,324.44519567580863,20.292373798164522,27.941910472175998,328.5541261652982,9.217923982020434,139.57348508638222,72.44030530824699,0.551470798058411,0.9740801143137161,16.28525730649428,375317.63572837634,0.5306389552238736,148517984.34976554,0.5369582157282079
20040311,3.059052756827821,206.32052162588448,327.44249159509593,20.1335120719873,29.865845396440793,334.43059748760044,12.500214381493894,139.1856021888316,72.45390987855342,0.6609501752771596,0.7653882653184267,19.518247764083707,365155.1854047877,0.5454069011213026,148636885.85637876,0.5365286780635119
20040315,6.0275688944526316,262.81585795001956,331.431362153381,19.921696437090997,32.430776253628736,342.23544702509525,16.81514200403469,138.67838277500158,72.49822323274601,0.8067954540770087,0.32533481141464815,23.825144703241975,366052.0108392178,0.5440706571817655,148799190.06093723,0.5359434540425999
